#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
eternal_fabric                                    (dimdoors:eternal_fabric)                                                        = Eternal Fabric
fuel                                              (galacticraftcore:fuel)                                                          = Fuel
oxygen                                            (advancedrocketry:oxygenfluid)                                                   = Oxygen Gas
hydrogen                                          (advancedrocketry:hydrogenfluid)                                                 = Hydrogen Gas
bacterialsludge                                   (galacticraftplanets:sludge)                                                     = Bacterial Sludge
methane                                           ([no block])                                                                     = Methane Gas
atmosphericgases                                  ([no block])                                                                     = Atmospheric Gases
liquidmethane                                     ([no block])                                                                     = Liquid Methane
liquidnitrogen                                    ([no block])                                                                     = Liquid Nitrogen
nitrogen                                          (advancedrocketry:nitrogenfluid)                                                 = Nitrogen Gas
carbondioxide                                     ([no block])                                                                     = CO2 Gas
argon                                             ([no block])                                                                     = Argon Gas
liquidargon                                       ([no block])                                                                     = Liquid Argon
helium                                            ([no block])                                                                     = Helium Gas
sulphuricacid                                     (galacticraftplanets:sulphuric_acid)                                             = Sulphuric Acid
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
fluid_booze_apple_juice                           (growthcraft_apples:fluid_applecider_apple_juice)                                = Apple Juice
fluid_booze_apple_cider_fermented                 (growthcraft_apples:fluid_applecider_apple_cider_fermented)                      = Apple Cider
fluid_booze_apple_cider_potent                    (growthcraft_apples:fluid_applecider_apple_cider_potent)                         = Apple Cider
fluid_booze_apple_cider_extended                  (growthcraft_apples:fluid_applecider_apple_cider_extended)                       = Apple Cider
fluid_booze_apple_cider_ethereal                  (growthcraft_apples:fluid_applecider_apple_cider_ethereal)                       = Silken Nectar
fluid_booze_apple_cider_intoxicated               (growthcraft_apples:fluid_applecider_apple_cider_intoxicated)                    = Apple Cider
fluid_booze_apple_cider_poisoned                  (growthcraft_apples:fluid_applecider_apple_cider_poisoned)                       = Apple Cider
fluid_booze_apple_cider_potentextended            (growthcraft_apples:fluid_applecider_apple_cider_potentextended)                 = Apple Cider
fluid_booze_purple_juice                          (growthcraft_grapes:fluid_grapebooze_purple_juice)                               = Purple Grape Juice
fluid_booze_purple_wine                           (growthcraft_grapes:fluid_grapebooze_purple_wine)                                = Purple Grape Wine
fluid_booze_purple_wine_potent                    (growthcraft_grapes:fluid_grapebooze_purple_wine_potent)                         = Purple Grape Wine Potent
fluid_booze_purple_wine_extended                  (growthcraft_grapes:fluid_grapebooze_purple_wine_extended)                       = Purple Grape Wine Extended
fluid_booze_purple_ambrosia                       (growthcraft_grapes:fluid_grapebooze_purple_ambrosia)                            = Purple Ambrosia
fluid_booze_purple_portwine                       (growthcraft_grapes:fluid_grapebooze_purple_portwine)                            = Purple Port Wine
fluid_booze_purple_wine_intoxicated               (growthcraft_grapes:fluid_grapebooze_purple_wine_intoxicated)                    = Purple Grape Wine
fluid_booze_purple_wine_poisoned                  (growthcraft_grapes:fluid_grapebooze_purple_wine_poisoned)                       = Purple Grape Wine
fluid_booze_green_juice                           (growthcraft_grapes:fluid_grapebooze_green_juice)                                = Green Grape Juice
fluid_booze_green_wine                            (growthcraft_grapes:fluid_grapebooze_green_wine)                                 = Green Grape Wine
fluid_booze_green_wine_potent                     (growthcraft_grapes:fluid_grapebooze_green_wine_potent)                          = Green Grape Wine Potent
fluid_booze_green_wine_extended                   (growthcraft_grapes:fluid_grapebooze_green_wine_extended)                        = Green Grape Wine Extended
fluid_booze_green_ambrosia                        (growthcraft_grapes:fluid_grapebooze_green_ambrosia)                             = Green Ambrosia
fluid_booze_green_portwine                        (growthcraft_grapes:fluid_grapebooze_green_portwine)                             = Green Port Wine
fluid_booze_green_wine_intoxicated                (growthcraft_grapes:fluid_grapebooze_green_wine_intoxicated)                     = Green Grape Wine
fluid_booze_green_wine_poisoned                   (growthcraft_grapes:fluid_grapebooze_green_wine_poisoned)                        = Green Grape Wine
fluid_booze_red_juice                             (growthcraft_grapes:fluid_grapebooze_red_juice)                                  = Red Grape Juice
fluid_booze_red_wine                              (growthcraft_grapes:fluid_grapebooze_red_wine)                                   = Red Grape Wine
fluid_booze_red_wine_potent                       (growthcraft_grapes:fluid_grapebooze_red_wine_potent)                            = Red Grape Wine Potent
fluid_booze_red_wine_extended                     (growthcraft_grapes:fluid_grapebooze_red_wine_extended)                          = Red Grape Wine Extended
fluid_booze_red_ambrosia                          (growthcraft_grapes:fluid_grapebooze_red_ambrosia)                               = Red Ambrosia
fluid_booze_red_portwine                          (growthcraft_grapes:fluid_grapebooze_red_portwine)                               = Red Port Wine
fluid_booze_red_wine_intoxicated                  (growthcraft_grapes:fluid_grapebooze_red_wine_intoxicated)                       = Red Grape Wine
fluid_booze_red_wine_poisoned                     (growthcraft_grapes:fluid_grapebooze_red_wine_poisoned)                          = Red Grape Wine
fluid_honey                                       (growthcraft_bees:fluid_honey)                                                   = Honey
fluid_booze_mead_young                            (growthcraft_bees:fluid_mead_mead_young)                                         = Mead Must
fluid_booze_mead_fermented                        (growthcraft_bees:fluid_mead_mead_fermented)                                     = Mead
fluid_booze_mead_potent                           (growthcraft_bees:fluid_mead_mead_potent)                                        = Potent Mead
fluid_booze_mead_extended                         (growthcraft_bees:fluid_mead_mead_extended)                                      = Extended Mead
fluid_booze_mead_ethereal                         (growthcraft_bees:fluid_mead_mead_ethereal)                                      = Magical Mead
fluid_booze_mead_intoxicated                      (growthcraft_bees:fluid_mead_mead_intoxicated)                                   = Intoxicated Mead
fluid_booze_mead_poisoned                         (growthcraft_bees:fluid_mead_mead_poisoned)                                      = Mead
fluid_booze_mead_hyperextended                    (growthcraft_bees:fluid_mead_mead_hyperextended)                                 = Hyper-Extended Mead
fluid_booze_mead_potentextended                   (growthcraft_bees:fluid_mead_mead_potentextended)                                = Potent-Extended Mead
fluid_booze_sake_water                            (growthcraft_rice:fluid_sakebooze_sake_water)                                    = Rice Water
fluid_booze_sake_mash                             (growthcraft_rice:fluid_sakebooze_sake_mash)                                     = Sake Mash
fluid_booze_sake_fermented                        (growthcraft_rice:fluid_sakebooze_sake_fermented)                                = Sake
fluid_booze_sake_potent                           (growthcraft_rice:fluid_sakebooze_sake_potent)                                   = Sake
fluid_booze_sake_extended                         (growthcraft_rice:fluid_sakebooze_sake_extended)                                 = Sake
fluid_booze_sake_hyperextended                    (growthcraft_rice:fluid_sakebooze_sake_hyperextended)                            = Sake
fluid_booze_sake_potent_extended                  (growthcraft_rice:fluid_sakebooze_sake_potent_extended)                          = Sake
fluid_booze_sake_potent_hyperextended             (growthcraft_rice:fluid_sakebooze_sake_potent_hyperextended)                     = Sake
fluid_booze_sake_poisoned                         (growthcraft_rice:fluid_sakebooze_sake_poisoned)                                 = Sake
fluid_booze_sake_magical                          (growthcraft_rice:fluid_sakebooze_sake_magical)                                  = Sake
fluid_booze_lager_young                           (growthcraft_hops:fluid_lagerbooze_young)                                        = Lager Wort
fluid_booze_lager_normal                          (growthcraft_hops:fluid_lagerbooze_normal)                                       = Lager
fluid_booze_lager_potent                          (growthcraft_hops:fluid_lagerbooze_potent)                                       = Lager
fluid_booze_lager_extended                        (growthcraft_hops:fluid_lagerbooze_extended)                                     = Lager
fluid_booze_lager_hyperextended                   (growthcraft_hops:fluid_lagerbooze_hyperextended)                                = Lager
fluid_booze_lager_intoxicated                     (growthcraft_hops:fluid_lagerbooze_intoxicated)                                  = Lager
fluid_booze_lager_poisoned                        (growthcraft_hops:fluid_lagerbooze_poisoned)                                     = Lager
fluid_booze_lager_potentextended                  (growthcraft_hops:fluid_lagerbooze_potentextended)                               = Lager
fluid_booze_lager_magical                         (growthcraft_hops:fluid_lagerbooze_magical)                                      = Lager
fluid_booze_hopale_unhopped                       (growthcraft_hops:fluid_hopalebooze_unhopped)                                    = Ale Wort
fluid_booze_hopale_normal                         (growthcraft_hops:fluid_hopalebooze_normal)                                      = Ale
fluid_booze_hopale_potent                         (growthcraft_hops:fluid_hopalebooze_potent)                                      = Ale
fluid_booze_hopale_extended                       (growthcraft_hops:fluid_hopalebooze_extended)                                    = Ale
fluid_booze_hopale_young                          (growthcraft_hops:fluid_hopalebooze_young)                                       = Ale Wort
fluid_booze_hopale_hyperextended                  (growthcraft_hops:fluid_hopalebooze_hyperextended)                               = Ale
fluid_booze_hopale_lager                          (growthcraft_hops:fluid_hopalebooze_lager)                                       = Ale
fluid_booze_hopale_intoxicated                    (growthcraft_hops:fluid_hopalebooze_intoxicated)                                 = Ale
fluid_booze_hopale_poisoned                       (growthcraft_hops:fluid_hopalebooze_poisoned)                                    = Ale
fluid_milk                                        (growthcraft_milk:fluid_milk)                                                    = Milk
fluid_butter_milk                                 (growthcraft_milk:fluid_butter_milk)                                             = Butter Milk
fluid_cream                                       (growthcraft_milk:fluid_cream)                                                   = Cream
fluid_milk_curds                                  (growthcraft_milk:fluid_milk_curds)                                              = Milk Curds
fluid_rennet                                      (growthcraft_milk:fluid_rennet)                                                  = Rennet
fluid_skim_milk                                   (growthcraft_milk:fluid_skim_milk)                                               = Skim Milk
fluid_whey                                        (growthcraft_milk:fluid_whey)                                                    = Whey
fluid_condensed_milk                              (growthcraft_milk:fluid_condensed_milk)                                          = Condensed Milk
fluid_booze_kumis_kumis_fermented                 (growthcraft_milk:fluid_kumisbooze_kumis_fermented)                              = Kumis Fermented
fluid_booze_kumis_kumis_potent                    (growthcraft_milk:fluid_kumisbooze_kumis_potent)                                 = Kumis Potent
fluid_booze_kumis_kumis_extended                  (growthcraft_milk:fluid_kumisbooze_kumis_extended)                               = Kumis Extended
fluid_booze_kumis_kumis_hyperextended             (growthcraft_milk:fluid_kumisbooze_kumis_hyperextended)                          = Kumis Hyper-Extended
fluid_booze_kumis_kumis_potent_extended           (growthcraft_milk:fluid_kumisbooze_kumis_potent_extended)                        = Kumis Potent Extended
fluid_booze_kumis_kumis_potent_hyperextended      (growthcraft_milk:fluid_kumisbooze_kumis_potent_hyperextended)                   = Kumis Potent Hyper-Extended
fluid_booze_kumis_kumis_poisoned                  (growthcraft_milk:fluid_kumisbooze_kumis_poisoned)                               = Kumis
fluid_cheese_ricotta                              (growthcraft_milk:fluid_cheese_ricotta)                                          = Ricotta Cheese
fluid_cheese_gorgonzola                           (growthcraft_milk:fluid_cheese_gorgonzola)                                       = Gorgonzola Cheese
fluid_cheese_emmentaler                           (growthcraft_milk:fluid_cheese_emmentaler)                                       = Emmental Cheese
fluid_cheese_appenzeller                          (growthcraft_milk:fluid_cheese_appenzeller)                                      = Appenzeller Cheese
fluid_cheese_asiago                               (growthcraft_milk:fluid_cheese_asiago)                                           = Asiago Cheese
fluid_cheese_parmesan                             (growthcraft_milk:fluid_cheese_parmesan)                                         = Parmesan Cheese
fluid_cheese_casu_marzu                           (growthcraft_milk:fluid_cheese_casu_marzu)                                       = fluid.fluid_cheese_casu_marzu
fluid_cheese_cheddar                              (growthcraft_milk:fluid_cheese_cheddar)                                          = Cheddar Cheese
fluid_cheese_monterey                             (growthcraft_milk:fluid_cheese_monterey)                                         = Monterey Cheese
fluid_cheese_gouda                                (growthcraft_milk:fluid_cheese_gouda)                                            = Gouda Cheese
fluid_cheese_provolone                            (growthcraft_milk:fluid_cheese_provolone)                                        = Provolone Cheese
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
essence                                           (industrialforegoing:essence)                                                    = Essence
meat                                              (industrialforegoing:meat)                                                       = Liquid Meat
latex                                             (industrialforegoing:latex)                                                      = Latex
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = Menril Resin
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = Liquid Chorus
deuterium                                         (nuclearcraft:fluid_deuterium)                                                   = Deuterium
tritium                                           (nuclearcraft:fluid_tritium)                                                     = Tritium
helium3                                           (nuclearcraft:fluid_helium3)                                                     = Helium-3
boron                                             (nuclearcraft:fluid_boron)                                                       = Molten Boron
boron10                                           (nuclearcraft:fluid_boron10)                                                     = Molten Boron-10
boron11                                           (nuclearcraft:fluid_boron11)                                                     = Molten Boron-11
lithium                                           (nuclearcraft:fluid_lithium)                                                     = Molten Lithium
lithium6                                          (nuclearcraft:fluid_lithium6)                                                    = Molten Lithium-6
lithium7                                          (nuclearcraft:fluid_lithium7)                                                    = Molten Lithium-7
ferroboron                                        (nuclearcraft:fluid_ferroboron)                                                  = Molten Ferroboron
tough                                             (nuclearcraft:fluid_tough)                                                       = Molten Tough Alloy
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = Molten Hard Carbon
beryllium                                         (nuclearcraft:fluid_beryllium)                                                   = Molten Beryllium
manganese                                         (nuclearcraft:fluid_manganese)                                                   = Molten Manganese
manganese_dioxide                                 (nuclearcraft:fluid_manganese_dioxide)                                           = Molten Manganese Dioxide
sulfur                                            (nuclearcraft:fluid_sulfur)                                                      = Molten Sulfur
arsenic                                           (nuclearcraft:fluid_arsenic)                                                     = Molten Arsenic
liquidhelium                                      (nuclearcraft:fluid_liquidhelium)                                                = Liquid Helium
