#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
draconic_metal                                    ([no block])                                                                     = Draconic Coalescence
chaotic_metal                                     ([no block])                                                                     = Destructured Chaos
mica                                              ([no block])                                                                     = Molten Mica
essence_metal                                     ([no block])                                                                     = Molten Metallic Essence
pink_metal                                        ([no block])                                                                     = Molten Pink Metal
energetic_metal                                   ([no block])                                                                     = Molten Energium Metal
iridium                                           ([no block])                                                                     = Molten Iridium
universal_metal                                   ([no block])                                                                     = Eutectic UU-Metal Alloy
osmium                                            ([no block])                                                                     = Molten Osmium
refined_obsidian                                  ([no block])                                                                     = Molten Refined Obsidian
refined_glowstone                                 ([no block])                                                                     = Molten Refined Glowstone
fluxed_electrum                                   ([no block])                                                                     = Molten Fluxed Electrum
thaumium                                          ([no block])                                                                     = Molten Thaumium
void_metal                                        ([no block])                                                                     = Molten Void Metal
primal_metal                                      ([no block])                                                                     = Molten Primal Metal
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
desh                                              (plustic:plustic.molten_desh)                                                    = Molten Desh
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
